IDAtributoQuestionario;IDIndicadorEspecificoQuestionario;DSAtributoQuestionario;NOAtributoQuestionario;NRPeso
52;12;Realizou estudo de viabilidade para implantação de um sistema OPS.;N2;0,074078302
53;12;Não possui sistema OPS.;N1;0
55;13;"Atende todas as opções listadas. ";N5;5,970455341
56;13;Atende três das opções listadas.;N4;3,074312935
57;13;Atende duas das opções listadas.;N3;1,406354312
58;13;Atende uma das opções listadas.;N2;0,490177546
59;13;Não atende nenhuma das opções listadas.;N1;0
60;14;Mais de 22 dos itens listados.;N5;0,300511017
61;14;De 18 a 22 dos itens listados.;N4;0,203819368
62;14;De 12 a 17 dos itens listados.;N3;0,089028353
63;14;De 7 a 11 dos itens listados.;N2;0,028168428
64;14;Até 6 dos itens listados.;N1;0
65;15;Há agenda ambiental local e há ações de implantação.;N3;1,472197306
66;15;Há agenda ambiental local, mas não há ações de implantação.;N2;0,196653168
67;15;Não foi elaborada agenda ambiental local.;N1;0
68;16;Há agenda ambiental institucional e há ações de implantação.;N3;0,790989479
69;16;Há agenda ambiental institucional, mas não há ações de implantação.;N2;0,105658791
70;16;Não foi elaborada agenda ambiental institucional.;N1;0
71;17;A instalação portuária possui duas ou mais certificações voluntárias.;N5;0,559314025
72;17;A instalação portuária possui uma certificação voluntária.;N4;0,213933629
73;17;Há certificação voluntária em processo de desenvolvimento.;N3;0,059517182
74;17;Há planejamento formal para requisição de certificação voluntária.;N2;0,02307696
75;17;Não atende a nenhuma das opções acima.;N1;0
78;18;A Autoridade Portuária apresenta planilha(s) com informações atuais sobre a situação das empresas (terminais arrendados e/ou operadores avulsos) quanto a todas as opções listadas.;N5;3,789571309
79;18;A Autoridade Portuária apresenta planilha(s) com informações sobre cinco das opções listadas.;N4;2,008619634
80;18;A Autoridade Portuária apresenta planilha(s) com informações sobre quatro das opções listadas.;N3;0,693412326
81;18;A Autoridade Portuária apresenta planilha(s) com informações sobre três das opções listadas.;N2;0,175350693
82;18;A Autoridade Portuária apresenta planilha com informações sobre até duas das opções listadas.;N1;0
84;19;Todas as empresas (100%) que movimentam/armazenam carga (terminais arrendados e/ou operadores avulsos) possuem licença adequada ao seu status (LP/LI/LO) e vigente.;N5;2,722464478
85;19;Entre 75% e 100% (75% = e < 100%) das empresas que movimentam/armazenam carga (terminais arrendados e/ou operadores avulsos) possuem licença adequada ao seu status (LP/LI/LO) e vigente.;N4;1,443011665
86;19;Entre 50% e 75% (50% = e < 75%) das empresas que movimentam/armazenam carga (terminais arrendados e/ou operadores avulsos) possuem licença adequada ao seu status (LP/LI/LO) e vigente.;N3;0,498154085
87;19;Entre 25% e 50% (25% = e < 50%) das empresas que movimentam/armazenam carga (terminais arrendados e/ou operadores avulsos) possuem licença adequada ao seu status (LP/LI/LO) e vigente.;N2;0,125973625
88;19;Menos de 25% das empresas que movimentam/armazenam carga (terminais arrendados e/ou operadores avulsos) possuem licença adequada ao seu status (LP/LI/LO) e vigente.;N1;0
89;20;Todos (100%) os terminais arrendados possuem PEI e apresentam capacidade operacional adequada ao atendimento às emergências envolvendo vazamentos de óleo.;N5;1,516842941
90;20;Entre 75% e 100% (75% = e < 100%) dos terminais arrendados possuem PEI e apresentam capacidade operacional adequada ao atendimento às emergências envolvendo vazamentos de óleo.;N4;0,803985534
91;20;Entre 50% e 75% (50% = e < 75%) dos terminais arrendados possuem PEI e apresentam capacidade operacional adequada ao atendimento às emergências envolvendo vazamentos de óleo.;N3;0,277550548
92;20;Entre 25% e 50% (25% = e < 50%) dos terminais arrendados possuem PEI e apresentam capacidade operacional adequada ao atendimento às emergências envolvendo vazamentos de óleo.;N2;0,070187216
93;20;Menos de 25% dos terminais arrendados possuem PEI e apresentam capacidade operacional adequada ao atendimento às emergências envolvendo vazamentos de óleo.;N1;0
94;21;Todos (100%) os terminais arrendados realizaram auditoria ambiental dentro do prazo dos dóis últimos anos.;N5;0,693282819
95;21;Entre 75% e 100% (75% = e < 100%) dos terminais arrendados realizaram auditoria ambiental dentro do prazo dos dóis últimos anos.;N4;0,367466758
96;21;Entre 50% e 75% (50% = e < 75%) dos terminais arrendados realizaram auditoria ambiental dentro do prazo dos dóis últimos anos.;N3;0,126856262
97;21;Entre 25% e 50% (25% = e < 50%) dos terminais arrendados realizaram auditoria ambiental dentro do prazo dos dóis últimos anos.;N2;0,032079518
98;21;Menos de 25% dos terminais arrendados realizaram auditoria ambiental dentro do prazo dos dóis últimos anos.;N1;0
99;22;Todos (100%) os terminais arrendados possuem seus respectivos planos de gerenciamento de resíduos sólidos.;N5;1,020759603
100;22;Entre 75% e 100% (75% = e < 100%) dos terminais arrendados possuem seus respectivos planos de gerenciamento de resíduos sólidos.;N4;0,541042143
101;22;Entre 50% e 75% (50% = e < 75%) dos terminais arrendados possuem seus respectivos planos de gerenciamento de resíduos sólidos.;N3;0,186777668
102;22;Entre 25% e 50% (25% = e < 50%) dos terminais arrendados possuem seus respectivos planos de gerenciamento de resíduos sólidos.;N2;0,047232494
103;22;Menos de 25% dos terminais arrendados possuem seus respectivos planos de gerenciamento de resíduos sólidos.;N1;0
104;23;Todas (100%) as empresas (terminais arrendados e/ou operadores avulsos) possuem pelo menos duas certificações;N5;0,31872266
105;23;Entre 75% e 100% (75% = e < 100%) das empresas (terminais arrendados e/ou operadores avulsos) possuem pelo menos duas certificações.;N4;0,16893536
106;23;Entre 50% e 75% (50% = e < 75%) das empresas (terminais arrendados e/ou operadores avulsos) possuem pelo menos duas certificações.;N3;0,058319584
107;23;Entre 25% e 50% (25% = e < 50%) das empresas (terminais arrendados e/ou operadores avulsos) possuem pelo menos duas certificações.;N2;0,014747905
108;23;Menos de 25% das empresas (terminais arrendados e/ou operadores avulsos) possuem pelo menos duas certificações.;N1;0
109;24;Todos (100%) os terminais arrendados desenvolvem programas de educação ambiental.;N5;0,654266288
110;24;Entre 75% e 100% (75% = e < 100%) dos terminais arrendados desenvolvem programas de educação ambiental.;N4;0,346786485
111;24;Entre 50% e 75% (50% = e < 75%) dos terminais arrendados desenvolvem programas de educação ambiental.;N3;0,119717053
112;24;Entre 25% e 50% (25% = e < 50%) dos terminais arrendados desenvolvem programas de educação ambiental.;N2;0,030274149
113;24;Menos de 25% dos terminais arrendados desenvolvem programas de educação ambiental.;N1;0
114;25;Atende todas as opções listadas.;N3;4,956450125
115;25;Atende duas das opções listadas;N2;1,306183429
116;25;Atende uma das opções listadas.;N1;0
118;26;Realizou quatro ou mais ações de promoção de saúde no último ano.;N5;0,826075021
119;26;Realizou três ações de promoção de saúde no último ano.;N4;0,47595551
120;26;Realizou duas ações de promoção de saúde no último ano.;N3;0,261427403
121;26;Realizou uma ação de promoção de saúde no último ano.;N2;0,075657941
122;26;Não realizou qualquer ação de promoção de saúde no último ano.;N1;0
123;27;Atende todas as opções listadas.;N5;1,652150042
124;27;Atende três das opções listadas.;N4;1,019351309
125;27;Atende duas das opções listadas.;N3;0,413807633
126;27;Atende uma das opções listadas.;N2;0,107102375
127;27;Não atende nenhuma das opções listadas.;N1;0
129;28;A instalação portuária executa um programa de monitoramento contínuo ou periódico da qualidade da água e possui o registro sistematizado das informações na forma de um banco de dados.;N5;2,463109649
130;28;A instalação portuária executa um programa de monitoramento contínuo ou periódico da qualidade da água, mas não possui o banco de dados;N4;0,823647994
131;28;A instalação portuária apenas promove estudos ou levantamentos esporádicos da qualidade da água para atender o licenciamento de obras específicas (dragagens, ampliações, novas estruturas).;N3;0,38227129
132;28;Não faz monitoramento ou promove estudos, mas possui dados secundários gerados por terceiros sem qualquer vínculo com o porto.;N2;0,132375982
133;28;A instalação portuária não conhece ou dispõe de qualquer informação sobre a qualidade da água.;N1;0
134;29;Sim. Há um sistema de micro drenagem e um sistema de macro drenagem que atende 100% da área da instalação portuária. O sistema de macro drenagem é composto por medidas compensatórias (medidas de remediação).;N5;0,404970051
135;29;"Sim. Há um sistema de micro drenagem e um sistema de macro drenagem que atende 100% da área da instalação portuária. O sistema de macro drenagem não é composto por medidas compensatórias (medidas de remediação).  ";N4;0,247696378
136;29;Sim. Há um sistema de micro drenagem e um sistema de macro drenagem que atende parcialmente a área da instalação portuária. O sistema de macro drenagem é composto por medidas compensatórias (medidas de remediação).;N3;0,156624752
137;29;Sim. Há um sistema de micro drenagem e um sistema de macro drenagem que atende parcialmente a área da instalação portuária. O sistema de macro drenagem não é composto por medidas compensatórias (medidas de remediação).;N2;0,068742829
138;29;Não há sistema de drenagem pluvial na instalação portuária.;N1;0
139;30;Há acompanhamento, indicadores de eficiência, metas de desempenho e ações de reuso.;N3;0,998742028
140;30;Há controle das ações.;N2;0,232161534
141;30;Não há controle das ações.;N1;0
142;31;Há monitoramento ambiental da área dragada e da área de disposição;N3;1,235339539
143;31;Há monitoramento ambiental da área dragada ou da área de disposição.;N2;0,449508483
144;31;Não há monitoramento ambiental das dragagens.;N1;0
145;32;"A instalação portuária nunca teve passivos ambientais. ";N5;1,235339539
146;32;A instalação portuária teve passivos ambientais, que já foram remediados.;N4;0,684828835
147;32;"A instalação portuária realizou remediação parcial dos passivos existentes ou a remediação ainda está em curso. ";N3;0,216403458
148;32;A instalação portuária realizou diagnóstico dos passivos ambientais, mas não tomou medidas de remediação.;N2;0,072183342
149;32;A instalação portuária possui passivos ambientais, mas não fez diagnóstico e nem adotou medidas de remediação.;N1;0
150;33;É feito o monitoramento das emissões de materiais particulados E de gases com periodicidade regular e foi elaborado o Inventário de Emissões com identificação das fontes e quantificação dos gases de efeito estufa.;N5;1,101805927
151;33;É feito o monitoramento das emissões de materiais particulados OU de gases com periodicidade regular e foi elaborado o Inventário de Emissões com identificação das fontes e quantificação dos gases de efeito estufa.;N4;0,368436802
152;33;É feito apenas o monitoramento das emissões de materiais particulados E de gases com periodicidade regular.;N3;0,170998791
153;33;É feito apenas o monitoramento das emissões de materiais particulados OU de gases com periodicidade regular.;N2;0,059214839
154;33;Não atende a nenhuma das opções acima.;N1;0
155;34;Há monitoramento periódico de ruídos e existe inventário com identificação das fontes e respectivos níveis de ruído para elaboração de mapa de riscos (PPRA).;N3;0,367268642
156;34;Foi elaborado o mapa de riscos, mas não é feito monitoramento dos ruídos com periodicidade regular.;N2;0,106424822
157;34;Não atende a nenhuma das opções anteriores.;N1;0
159;35;O porto atende todas as opções listadas.;N5;7,964752347
160;35;Atende três das opções listadas.;N4;4,589011489
161;35;Atende duas das opções listadas.;N3;2,52059979
162;35;Atende uma das opções listadas.;N2;0,72946978
163;35;Não atende nenhuma das opções listadas.;N1;0
164;36;Já foi realizado levantamento das espécies para caracterização da biota (terrestre e/ou aquática) existente na área de influência direta da instalação portuária E há monitoramento de espécies ou grupo de espécies indicadoras de alterações da qualidade ambiental decorrentes da operação da instalação portuária (uso de bioindicadores).;N3;0,978458281
165;36;Foi realizada a caracterização da biota OU são utilizados bioindicadores.;N2;0,25785511
166;36;Não atende a nenhuma das opções anteriores.;N1;0
168;37;Atende todas as opções listadas.;N5;2,935374843
169;37;Atende três das opções listadas.;N4;1,691260229
170;37;Atende duas das opções listadas.;N3;0,928956092
171;37;Atende uma das opções listadas.;N2;0,268842915
172;37;Não atende nenhuma das opções listadas.;N1;0
174;38;Atende todas as opções listadas.;N3;0,978458281
175;38;Atende uma ou duas das opções listadas.;N2;0,356035959
176;38;Não atende nenhuma das opções listadas.;N1;0
177;39;A instalação portuária possui Licença de Operação válida e vigente.;N3;12,59039418
178;39;A instalação portuária ainda não possui Licença de Operação, mas existe processo de licenciamento para regularização, o empreendedor já entregou ao órgão ambiental licenciador o estudo ambiental exigido e atualmente aguarda manifestação do mesmo.;N2;2,42002029
179;39;A instalação portuária não possui Licença de Operação.;N1;0
184;40;Acima do número mínimo de profissionais no Núcleo Ambiental.;N3;3,540049473
185;40;Possui o número mínimo de profissionais no Núcleo Ambiental.;N2;1,925700038
186;40;Abaixo do número mínimo de profissionais no Núcleo Ambiental.;N1;0
187;41;Mais de 50% dos funcionários participaram de treinamento/capacitação.;N3;1,746619828
188;41;Menos de 50% dos funcionários participaram de treinamento/capacitação.;N2;0,460290292
189;41;Não participaram de treinamento/capacitação ou não foi atingido o mínimo de horas/pessoa.;N1;0
191;42;A auditoria ambiental foi realizada até dois anos atrás.;N3;5,379711836
192;42;A auditoria ambiental foi realizada há mais de dois anos atrás.;N2;1,417726452
193;42;Nunca foi realizada auditoria ambiental.;N1;0
194;43;Existe banco de dados com atualização mínima semestral.;N3;1,727190873
195;43;Existe banco de dados, mas não há atualização mínima semestral.;N2;0,45517014
196;43;Não existe banco de dados.;N1;0
197;44;Atende todos os planos/programas listados abaixo.;N5;11,56238481
198;44;Atende quatro dos planos/programas listados abaixo.;N4;6,661841377
199;44;Atende três dos planos/programas listados abaixo.;N3;3,659140104
200;44;Atende dois dos planos/programas listados abaixo.;N2;1,058967051
201;44;Atende um dos planos/programas listados abaixo.;N1;0
203;45;Nenhum acidente ambiental.;N5;3,870120688
204;45;De um a três acidentes ambientais dentro do limite da área da instalação portuária.;N4;1,429044381
205;45;Acima de três acidentes ambientais dentro do limite da área da instalação portuária.;N3;0,797217878
206;45;De um a três acidentes ambientais além dos limites da área da instalação portuária.;N2;0,168073614
207;45;Acima de três acidentes ambientais além dos limites da área da instalação portuária ou não é realizado o registro de acidentes.;N1;0
208;46;Atende todas as opções listadas.;N5;9,543710854
209;46;Atende três das opções listadas.;N4;5,498752108
210;46;Atende duas das opções listadas.;N3;3,020291721
211;46;Atende uma das opções listadas.;N2;0,874082251
212;46;Não há retirada de resíduos dos navios na instalação portuária.;N1;0
215;47;Atende todas as opções listadas.;N3;1,503026407
216;47;Atende duas das opções listadas.;"N2 ";0
217;47;Não atende qualquer das opções listadas.;N1;0
218;48;Sim, utilizada em atividades operacionais e administrativas.;N3;0,449711874
219;48;Sim, utilizada somente em atividades administrativas.;N2;0,163638656
220;48;Não há geração de energia limpa e renovável pela instalação portuária.;N1;0
221;49;Dispõe de sistema OPS.;N3;0,1794076
222;49;Realizou estudo de viabilidade para implantação de um sistema OPS.;N2;0,074078302
223;49;Não possui sistema OPS.;N1;0
225;50;"Atende todas as opções listadas. ";N5;5,970455341
226;50;Atende três das opções listadas.;N4;3,074312935
227;50;Atende duas das opções listadas.;N3;1,406354312
228;50;Atende uma das opções listadas.;N2;0,490177546
229;50;Não atende nenhuma das opções listadas.;N1;0
230;51;Mais de 22 dos itens listados.;N5;0,300511017
231;51;De 18 a 22 dos itens listados.;N4;0,203819368
232;51;De 12 a 17 dos itens listados.;N3;0,089028353
233;51;De 7 a 11 dos itens listados.;N2;0,028168428
234;51;Até 6 dos itens listados.;N1;0
235;52;Há agenda ambiental local e há ações de implantação.;N3;1,472197306
236;52;Há agenda ambiental local, mas não há ações de implantação.;N2;0,196653168
237;52;Não foi elaborada agenda ambiental local.;N1;0
238;53;Há agenda ambiental institucional e há ações de implantação.;N3;0,790989479
239;53;Há agenda ambiental institucional, mas não há ações de implantação.;N2;0,105658791
240;53;Não foi elaborada agenda ambiental institucional.;N1;0
241;54;A instalação portuária possui duas ou mais certificações voluntárias.;N5;0,559314025
242;54;A instalação portuária possui uma certificação voluntária.;N4;0,213933629
243;54;Há certificação voluntária em processo de desenvolvimento.;N3;0,059517182
244;54;Há planejamento formal para requisição de certificação voluntária.;N2;0,02307696
245;54;Não atende a nenhuma das opções acima.;N1;0
248;55;A Autoridade Portuária apresenta planilha(s) com informações atuais sobre a situação das empresas (terminais arrendados e/ou operadores avulsos) quanto a todas as opções listadas.;N5;3,789571309
249;55;A Autoridade Portuária apresenta planilha(s) com informações sobre cinco das opções listadas.;N4;2,008619634
250;55;A Autoridade Portuária apresenta planilha(s) com informações sobre quatro das opções listadas.;N3;0,693412326
251;55;A Autoridade Portuária apresenta planilha(s) com informações sobre três das opções listadas.;N2;0,175350693
252;55;A Autoridade Portuária apresenta planilha com informações sobre até duas das opções listadas.;N1;0
254;56;Todas as empresas (100%) que movimentam/armazenam carga (terminais arrendados e/ou operadores avulsos) possuem licença adequada ao seu status (LP/LI/LO) e vigente.;N5;2,722464478
255;56;Entre 75% e 100% (75% = e < 100%) das empresas que movimentam/armazenam carga (terminais arrendados e/ou operadores avulsos) possuem licença adequada ao seu status (LP/LI/LO) e vigente.;N4;1,443011665
256;56;Entre 50% e 75% (50% = e < 75%) das empresas que movimentam/armazenam carga (terminais arrendados e/ou operadores avulsos) possuem licença adequada ao seu status (LP/LI/LO) e vigente.;N3;0,498154085
257;56;Entre 25% e 50% (25% = e < 50%) das empresas que movimentam/armazenam carga (terminais arrendados e/ou operadores avulsos) possuem licença adequada ao seu status (LP/LI/LO) e vigente.;N2;0,125973625
258;56;Menos de 25% das empresas que movimentam/armazenam carga (terminais arrendados e/ou operadores avulsos) possuem licença adequada ao seu status (LP/LI/LO) e vigente.;N1;0
259;57;Todos (100%) os terminais arrendados possuem PEI e apresentam capacidade operacional adequada ao atendimento às emergências envolvendo vazamentos de óleo.;N5;1,516842941
260;57;Entre 75% e 100% (75% = e < 100%) dos terminais arrendados possuem PEI e apresentam capacidade operacional adequada ao atendimento às emergências envolvendo vazamentos de óleo.;N4;0,803985534
261;57;Entre 50% e 75% (50% = e < 75%) dos terminais arrendados possuem PEI e apresentam capacidade operacional adequada ao atendimento às emergências envolvendo vazamentos de óleo.;N3;0,277550548
262;57;Entre 25% e 50% (25% = e < 50%) dos terminais arrendados possuem PEI e apresentam capacidade operacional adequada ao atendimento às emergências envolvendo vazamentos de óleo.;N2;0,070187216
263;57;Menos de 25% dos terminais arrendados possuem PEI e apresentam capacidade operacional adequada ao atendimento às emergências envolvendo vazamentos de óleo.;N1;0
264;58;Todos (100%) os terminais arrendados realizaram auditoria ambiental dentro do prazo dos dóis últimos anos.;N5;0,693282819
265;58;Entre 75% e 100% (75% = e < 100%) dos terminais arrendados realizaram auditoria ambiental dentro do prazo dos dóis últimos anos.;N4;0,367466758
266;58;Entre 50% e 75% (50% = e < 75%) dos terminais arrendados realizaram auditoria ambiental dentro do prazo dos dóis últimos anos.;N3;0,126856262
267;58;Entre 25% e 50% (25% = e < 50%) dos terminais arrendados realizaram auditoria ambiental dentro do prazo dos dóis últimos anos.;N2;0,032079518
268;58;Menos de 25% dos terminais arrendados realizaram auditoria ambiental dentro do prazo dos dóis últimos anos.;N1;0
269;59;Todos (100%) os terminais arrendados possuem seus respectivos planos de gerenciamento de resíduos sólidos.;N5;1,020759603
270;59;Entre 75% e 100% (75% = e < 100%) dos terminais arrendados possuem seus respectivos planos de gerenciamento de resíduos sólidos.;N4;0,541042143
271;59;Entre 50% e 75% (50% = e < 75%) dos terminais arrendados possuem seus respectivos planos de gerenciamento de resíduos sólidos.;N3;0,186777668
272;59;Entre 25% e 50% (25% = e < 50%) dos terminais arrendados possuem seus respectivos planos de gerenciamento de resíduos sólidos.;N2;0,047232494
273;59;Menos de 25% dos terminais arrendados possuem seus respectivos planos de gerenciamento de resíduos sólidos.;N1;0
274;60;Todas (100%) as empresas (terminais arrendados e/ou operadores avulsos) possuem pelo menos duas certificações;N5;0,31872266
275;60;Entre 75% e 100% (75% = e < 100%) das empresas (terminais arrendados e/ou operadores avulsos) possuem pelo menos duas certificações.;N4;0,16893536
276;60;Entre 50% e 75% (50% = e < 75%) das empresas (terminais arrendados e/ou operadores avulsos) possuem pelo menos duas certificações.;N3;0,058319584
277;60;Entre 25% e 50% (25% = e < 50%) das empresas (terminais arrendados e/ou operadores avulsos) possuem pelo menos duas certificações.;N2;0,014747905
278;60;Menos de 25% das empresas (terminais arrendados e/ou operadores avulsos) possuem pelo menos duas certificações.;N1;0
279;61;Todos (100%) os terminais arrendados desenvolvem programas de educação ambiental.;N5;0,654266288
280;61;Entre 75% e 100% (75% = e < 100%) dos terminais arrendados desenvolvem programas de educação ambiental.;N4;0,346786485
281;61;Entre 50% e 75% (50% = e < 75%) dos terminais arrendados desenvolvem programas de educação ambiental.;N3;0,119717053
282;61;Entre 25% e 50% (25% = e < 50%) dos terminais arrendados desenvolvem programas de educação ambiental.;N2;0,030274149
283;61;Menos de 25% dos terminais arrendados desenvolvem programas de educação ambiental.;N1;0
284;62;Atende todas as opções listadas.;N3;4,956450125
285;62;Atende duas das opções listadas;N2;1,306183429
286;62;Atende uma das opções listadas.;N1;0
288;63;Realizou quatro ou mais ações de promoção de saúde no último ano.;N5;0,826075021
289;63;Realizou três ações de promoção de saúde no último ano.;N4;0,47595551
290;63;Realizou duas ações de promoção de saúde no último ano.;N3;0,261427403
291;63;Realizou uma ação de promoção de saúde no último ano.;N2;0,075657941
292;63;Não realizou qualquer ação de promoção de saúde no último ano.;N1;0
293;64;Atende todas as opções listadas.;N5;1,652150042
294;64;Atende três das opções listadas.;N4;1,019351309
295;64;Atende duas das opções listadas.;N3;0,413807633
296;64;Atende uma das opções listadas.;N2;0,107102375
297;64;Não atende nenhuma das opções listadas.;N1;0
299;65;A instalação portuária executa um programa de monitoramento contínuo ou periódico da qualidade da água e possui o registro sistematizado das informações na forma de um banco de dados.;N5;2,463109649
300;65;A instalação portuária executa um programa de monitoramento contínuo ou periódico da qualidade da água, mas não possui o banco de dados;N4;0,823647994
301;65;A instalação portuária apenas promove estudos ou levantamentos esporádicos da qualidade da água para atender o licenciamento de obras específicas (dragagens, ampliações, novas estruturas).;N3;0,38227129
302;65;Não faz monitoramento ou promove estudos, mas possui dados secundários gerados por terceiros sem qualquer vínculo com o porto.;N2;0,132375982
303;65;A instalação portuária não conhece ou dispõe de qualquer informação sobre a qualidade da água.;N1;0
304;66;Sim. Há um sistema de micro drenagem e um sistema de macro drenagem que atende 100% da área da instalação portuária. O sistema de macro drenagem é composto por medidas compensatórias (medidas de remediação).;N5;0,404970051
305;66;"Sim. Há um sistema de micro drenagem e um sistema de macro drenagem que atende 100% da área da instalação portuária. O sistema de macro drenagem não é composto por medidas compensatórias (medidas de remediação).  ";N4;0,247696378
306;66;Sim. Há um sistema de micro drenagem e um sistema de macro drenagem que atende parcialmente a área da instalação portuária. O sistema de macro drenagem é composto por medidas compensatórias (medidas de remediação).;N3;0,156624752
307;66;Sim. Há um sistema de micro drenagem e um sistema de macro drenagem que atende parcialmente a área da instalação portuária. O sistema de macro drenagem não é composto por medidas compensatórias (medidas de remediação).;N2;0,068742829
308;66;Não há sistema de drenagem pluvial na instalação portuária.;N1;0
309;67;Há acompanhamento, indicadores de eficiência, metas de desempenho e ações de reuso.;N3;0,998742028
310;67;Há controle das ações.;N2;0,232161534
311;67;Não há controle das ações.;N1;0
312;68;Há monitoramento ambiental da área dragada e da área de disposição;N3;1,235339539
313;68;Há monitoramento ambiental da área dragada ou da área de disposição.;N2;0,449508483
314;68;Não há monitoramento ambiental das dragagens.;N1;0
315;69;"A instalação portuária nunca teve passivos ambientais. ";N5;1,235339539
316;69;A instalação portuária teve passivos ambientais, que já foram remediados.;N4;0,684828835
317;69;"A instalação portuária realizou remediação parcial dos passivos existentes ou a remediação ainda está em curso. ";N3;0,216403458
318;69;A instalação portuária realizou diagnóstico dos passivos ambientais, mas não tomou medidas de remediação.;N2;0,072183342
319;69;A instalação portuária possui passivos ambientais, mas não fez diagnóstico e nem adotou medidas de remediação.;N1;0
320;70;É feito o monitoramento das emissões de materiais particulados E de gases com periodicidade regular e foi elaborado o Inventário de Emissões com identificação das fontes e quantificação dos gases de efeito estufa.;N5;1,101805927
321;70;É feito o monitoramento das emissões de materiais particulados OU de gases com periodicidade regular e foi elaborado o Inventário de Emissões com identificação das fontes e quantificação dos gases de efeito estufa.;N4;0,368436802
322;70;É feito apenas o monitoramento das emissões de materiais particulados E de gases com periodicidade regular.;N3;0,170998791
323;70;É feito apenas o monitoramento das emissões de materiais particulados OU de gases com periodicidade regular.;N2;0,059214839
324;70;Não atende a nenhuma das opções acima.;N1;0
325;71;Há monitoramento periódico de ruídos e existe inventário com identificação das fontes e respectivos níveis de ruído para elaboração de mapa de riscos (PPRA).;N3;0,367268642
326;71;Foi elaborado o mapa de riscos, mas não é feito monitoramento dos ruídos com periodicidade regular.;N2;0,106424822
327;71;Não atende a nenhuma das opções anteriores.;N1;0
329;72;O porto atende todas as opções listadas.;N5;7,964752347
330;72;Atende três das opções listadas.;N4;4,589011489
331;72;Atende duas das opções listadas.;N3;2,52059979
332;72;Atende uma das opções listadas.;N2;0,72946978
333;72;Não atende nenhuma das opções listadas.;N1;0
334;73;Já foi realizado levantamento das espécies para caracterização da biota (terrestre e/ou aquática) existente na área de influência direta da instalação portuária E há monitoramento de espécies ou grupo de espécies indicadoras de alterações da qualidade ambiental decorrentes da operação da instalação portuária (uso de bioindicadores).;N3;0,978458281
335;73;Foi realizada a caracterização da biota OU são utilizados bioindicadores.;N2;0,25785511
336;73;Não atende a nenhuma das opções anteriores.;N1;0
338;74;Atende todas as opções listadas.;N5;2,935374843
339;74;Atende três das opções listadas.;N4;1,691260229
